Alania, Divergent Storm	1	Effect:the	A_verb_variation	cast	the first sorcery spell, or the first otter spell other than ~ you've cast this turn, you may have target opponent draw a card	Effect:the::the first sorcery spell, or the first otter	parser/oracle_effect/imperative.rs
Another Round	1	Effect:repeat	G_unclassified		repeat this process N more times	Effect:repeat::repeat this process N more times	parser/oracle_effect/
Anti-Venom, Horrifying Healer	1	Swallow:Condition_If	A_verb_variation	cast	~ enters, if he was cast, return target creature card from your graveyard	Swallow:Condition_If::~ enters, if he was cast, return target	parser/oracle_nom/condition.rs
Antiquities on the Loose	1	Swallow:Condition_If	A_verb_variation	create	tokens. then if this spell was cast from anywhere other than your hand,	Swallow:Condition_If::tokens. then if this spell was cast from	parser/oracle_nom/condition.rs
Ashiok, Wicked Manipulator	2	Swallow:Duration_ThisTurn	A_verb_variation	pay	if you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead. / [+N	Swallow:Duration_ThisTurn::if you would pay life while your library	parser/oracle_nom/duration.rs
Ashiok, Wicked Manipulator	2	Swallow:DynamicQty	A_verb_variation	pay	at least that many cards in it, exile that many cards from	Swallow:DynamicQty::at least that many cards in it, exile	parser/oracle_quantity.rs
Balthier and Fran	1	Trigger:Whenever a Vehicle crewed by ~ this turn attacks	A_verb_variation	attack	whenever a vehicle crewed by ~ this turn attacks, if it's the first combat phase of the turn, you may pay {M}. if you do, after this phase, there is an additional combat phase	Trigger:Whenever a Vehicle crewed by ~ this turn attacks::whenever a vehicle crewed by ~ this turn	parser/oracle_trigger.rs
Become Brutes	1	Effect:for	A_verb_variation	create	for each of those creatures, create a monster role token attached to it	Effect:for::for each of those creatures, create a monster	parser/oracle_effect/search.rs
Blasphemous Edict	1	Swallow:Condition_If	A_verb_variation	pay	mana cost if there are N or more creatures on the battlefield. /	Swallow:Condition_If::mana cost if there are N or more	parser/oracle_nom/condition.rs
Bonecache Overseer	1	Swallow:Condition_If	A_verb_variation	pay	activate only if N or more cards left your graveyard this turn or	Swallow:Condition_If::activate only if N or more cards left	parser/oracle_nom/condition.rs
Bounding Felidar	1	Swallow:DynamicQty	A_verb_variation	attack	N life for each of those crea	Swallow:DynamicQty::N life for each of those crea	parser/oracle_quantity.rs
Braided Net	1	Swallow:Condition_AsLongAs	A_verb_variation	remove	this artifact enters with N net counters on it. / {M}, remove a net counter from this artifact: tap another target nonland permanent. its	Swallow:Condition_AsLongAs::this artifact enters with N net counters on	parser/oracle_nom/condition.rs
Bre of Clan Stoutarm	1	Effect:otherwise	G_unclassified		otherwise	Effect:otherwise::otherwise	parser/oracle_effect/conditions.rs
Brilliance Unleashed	1	Effect:it's	G_unclassified		it's a N/N robot artifact creature with flying	Effect:it's::it's a N/N robot artifact creature with flying	parser/oracle_effect/become_copy_except.rs
Bumi, King of Three Trials	2	Swallow:DynamicQty	A_verb_variation	choose	when ~ enters, choose up to N, where N is the number of lesson cards in your graveyard — / • put N +N/+N counters on ~. / • targ	Swallow:DynamicQty::when ~ enters, choose up to N, where	parser/oracle_quantity.rs
Bumi, King of Three Trials	2	Swallow:Modal_DynamicMaxDropped	A_verb_variation	choose	~ enters, choose up to N, where N is the number	Swallow:Modal_DynamicMaxDropped::~ enters, choose up to N, where N	parser/oracle_effect/sequence.rs
Bumi, Unleashed	1	Effect:only	A_verb_variation	can	only land creatures can attack during that combat phase	Effect:only::only land creatures can attack during that combat	parser/oracle_effect/
Burnout Bashtronaut	0	resolver-flagged			R1-speed-mechanic	R1-speed-mechanic	engine-runtime
Calamity, Galloping Inferno	1	Effect:choose	A_verb_variation	choose	choose a nonlegendary creature that saddled it this turn	Effect:choose::choose a nonlegendary creature that saddled it this	parser/oracle_effect/imperative.rs
Call the Spirit Dragons	1	Effect:for	A_verb_variation	put	for each color, put a +N/+N counter on a dragon you control of that color	Effect:for::for each color, put a +N/+N counter on	parser/oracle_effect/search.rs
Case File Auditor	1	Trigger:Whenever you solve a Case	A_verb_variation	look	whenever you solve a case, look at the top N cards of your library. you may reveal an enchantment card from among them and put it into your hand. put the rest on the bottom of your library in a random order	Trigger:Whenever you solve a Case::whenever you solve a case, look at the	parser/oracle_trigger.rs
Case of the Uneaten Feast	1	Swallow:Optional_YouMay	A_verb_variation	gain	whenever a creature you control enters, you gain N life. / to solve — you've gained N or more life this turn. (if unsolved, solve at the beg	Swallow:Optional_YouMay::whenever a creature you control enters, you gain	parser/oracle_effect/
Cavernous Maw	2	Swallow:Condition_If	A_verb_variation	add	activate only if the number of othe	Swallow:Condition_If::activate only if the number of othe	parser/oracle_nom/condition.rs
Cavernous Maw	2	Swallow:DynamicQty	A_verb_variation	add	{M}: add {M}. / {M}: this land becomes a N/N elemental creature until end of turn. it's still a cave land. activate only if the number of othe	Swallow:DynamicQty::{M}: add {M}. / {M}: this land becomes	parser/oracle_quantity.rs
Cecil, Dark Knight	0	resolver-flagged			R5-runtime-bespoke	R5-runtime-bespoke	engine-runtime
Choreographed Sparks	1	Effect:the	A_verb_variation	copy	the copy gains haste and "at the beginning of the end step, sacrifice ~."	Effect:the::the copy gains haste and "at the beginning	parser/oracle_effect/imperative.rs
Close Encounter	1	Cost:choose a creature you control or a warped creature card you own in exile	A_verb_variation	choose	choose a creature you control or a warped creature card you own in exile	Cost:choose a creature you control or a warped creature card you own in exile::choose a creature you control or a warped	parser/oracle_casting.rs
Cloud, Planet's Champion	1	Swallow:Condition_AsLongAs	A_verb_variation	have	your turn, as long as ~ is equipped, it has double strike and	Swallow:Condition_AsLongAs::your turn, as long as ~ is equipped,	parser/oracle_nom/condition.rs
Combustion Man	1	Effect:Unsupported unless clause	A_verb_variation	destroy	destroy target permanent unless its controller has ~ deal damage to them equal to his power	Effect:Unsupported unless clause::destroy target permanent unless its controller has ~	parser/oracle_effect/mod.rs
Corpseberry Cultivator	1	Trigger:Whenever you forage	A_verb_variation	forage	whenever you forage, put a +N/+N counter on ~	Trigger:Whenever you forage::whenever you forage, put a +N/+N counter on	parser/oracle_trigger.rs
Crowd-Control Warden	1	Effect:replacement_structure	A_verb_variation	put	as ~ enters or is turned face up, put N +N/+N counters on it, where N is the number of other creatures you control	Effect:replacement_structure::as ~ enters or is turned face up,	parser/oracle_dispatch.rs
Curator of Sun's Creation	2	Effect:discover	A_verb_variation	discover	discover again for the same value	Effect:discover::discover again for the same value	parser/oracle_effect/mod.rs
Curator of Sun's Creation	2	Trigger:Whenever you discover	A_verb_variation	discover	whenever you discover, discover again for the same value. this ability triggers only once each turn	Trigger:Whenever you discover::whenever you discover, discover again for the same	parser/oracle_trigger.rs
Dawnhand Dissident	1	Effect:unknown	A_verb_variation	cast	during your turn, you may cast creature spells from among cards you own exiled with ~ by removing N counters from among creatures you control in addition to paying their other costs	Effect:unknown::during your turn, you may cast creature spells	parser/oracle_effect/mod.rs
Deadly Cover-Up	1	Effect:search	A_verb_variation	search	search its owner's graveyard, hand, and library for any number of cards with that name and exile them	Effect:search::search its owner's graveyard, hand, and library for	parser/oracle_effect/imperative.rs
Deepway Navigator	0	resolver-flagged			R2-aslongas-conditional-static	R2-aslongas-conditional-static	engine-runtime
Diligent Zookeeper	1	Swallow:DynamicQty	A_verb_variation	get	gets +N/+N for each of its creature types, to a maximum of	Swallow:DynamicQty::gets +N/+N for each of its creature types,	parser/oracle_quantity.rs
Discerning Financier	1	Effect:choose	A_verb_variation	choose	{M}: choose another player. that player gains control of target treasure you control. you draw a card	Effect:choose::{M}: choose another player. that player gains control	parser/oracle_effect/imperative.rs
Dissection Practice	0	resolver-flagged			R5-runtime-bespoke	R5-runtime-bespoke	engine-runtime
