+2 Mace	1	Effect:static_structure	B_subject_stripping	get	equipped creature gets ~/~	Effect:static_structure::equipped creature gets ~/~	parser/oracle_dispatch.rs
Aberrant Mind Sorcerer	1	Swallow:Optional_YouMay	A_verb_variation	choose	N—N | you may put	Swallow:Optional_YouMay::N—N | you may put	parser/oracle_effect/
Absorb Identity	1	Effect:have	A_verb_variation	have	have shapeshifters you control become copies of that creature	Effect:have::have shapeshifters you control become copies of that	parser/oracle_effect/imperative.rs
Academic Probation	2	Effect:can't	A_verb_variation	attack	can't attack or block, and its activated abilities can't be activated	Effect:can't::can't attack or block, and its activated abilities	parser/oracle_effect/mana.rs
Academic Probation	2	Effect:with	A_verb_variation	attack	with the chosen name	Effect:with::with the chosen name	parser/oracle_effect/search.rs
Academy Loremaster	1	Effect:spells	A_verb_variation	cast	spells they cast this turn cost {M} more to cast	Effect:spells::spells they cast this turn cost {M} more	parser/oracle_effect/mana.rs
Adrestia	1	Swallow:Condition_If	A_verb_variation	attack	~ attacks, if an assassin crewed	Swallow:Condition_If::~ attacks, if an assassin crewed	parser/oracle_nom/condition.rs
Advice from the Fae	1	Effect:otherwise	G_unclassified		otherwise	Effect:otherwise::otherwise	parser/oracle_effect/conditions.rs
Aegar, the Freezing Flame	1	Effect:wizard,	A_verb_variation	draw	wizard, or spell you controlled dealt damage to it this turn, draw a card	Effect:wizard,::wizard, or spell you controlled dealt damage to	parser/oracle_effect/
Aerial Formation	0	resolver-flagged			R5-runtime-bespoke	R5-runtime-bespoke	engine-runtime
Aether Revolt	2	Swallow:Condition_AsLongAs	A_verb_variation	deal	revolt — as long as a permanent left the battlefield under your control	Swallow:Condition_AsLongAs::revolt — as long as a permanent left	parser/oracle_nom/condition.rs
Aether Revolt	2	Swallow:Condition_If	A_verb_variation	deal	this turn, if a source you control would deal noncombat damage to	Swallow:Condition_If::this turn, if a source you control would	parser/oracle_nom/condition.rs
Aeve, Progenitor Ooze	1	Effect:effect_structure	G_unclassified		~ isn't legendary if it's a token	Effect:effect_structure::~ isn't legendary if it's a token	parser/oracle_dispatch.rs
Ajani Goldmane	1	Effect:create	A_verb_variation	create	[−N]: create a white avatar creature token. it has "~'s power and toughness are each equal to your life total."	Effect:create::[−N]: create a white avatar creature token. it	parser/oracle_effect/imperative.rs
Ajani Unyielding	1	Effect:five	G_unclassified		N loyalty counters on each other planeswalker you control	Effect:five::N loyalty counters on each other planeswalker you	parser/oracle_nom/primitives.rs
Ajani's Presence	0	resolver-flagged			R5-runtime-bespoke	R5-runtime-bespoke	engine-runtime
