Agatha of the Vile Cauldron	1	PWOE;WOE	Effect:static_structure	Activated abilities of creatures you control cost {X} less to activate, where X is ~'s power. This effect can't reduce the mana in that cost to less than one ma
Agency Coroner	1	MKM	Swallow:Condition_If	Condition_If — {2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead.
A Killer Among Us	1	MKM	Swallow:Condition_If	Condition_If — When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature toke
Alania, Divergent Storm	1	BLB;PBLB	Effect:the	the first sorcery spell, or the first Otter spell other than ~ you've cast this turn, you may have target opponent draw a card
Amalia Benavides Aguirre	1	LCI;PLCI	Swallow:Condition_If	Condition_If — Ward—Pay 3 life. Whenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (
Another Round	1	OTJ;POTJ	Effect:repeat	repeat this process X more times
Antiquities on the Loose	1	PSOS;SOS	Swallow:Condition_If	Condition_If — Create two 2/2 red and white Spirit creature tokens. Then if this spell was cast from anywhere other than your hand, put a +1/+1 counter on 
Anti-Venom, Horrifying Healer	1	LMAR;OM1;PSPM;SPM	Swallow:Condition_If	Condition_If — When Anti-Venom enters, if he was cast, return target creature card from your graveyard to the battlefield. If damage would be dealt to Anti
Arid Archway	1	OTJ	Swallow:Condition_If	Condition_If — This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surv
Ashiok, Wicked Manipulator	2	PWOE;WOE	Swallow:Duration_ThisTurn;Swallow:DynamicQty	DynamicQty — If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead. [+1
Avatar Aang	2	PTLA;TLA	Swallow:Condition_If;Swallow:Duration_ThisTurn	Condition_If — Flying, firebending 2 Whenever you waterbend, earthbend, firebend, or airbend, draw a card. Then if you've done all four this turn, transfor
Balthier and Fran	1	FIN;PFIN	Trigger:Whenever a Vehicle crewed by ~ this turn attacks	Whenever a Vehicle crewed by ~ this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an ad
Baron Helmut Zemo	1	MSH	ParseWarning:target-fallback	[warning:target-fallback] parse_target could not classify 'those exiled cards'
Become Brutes	1	WOE	Effect:for	For each of those creatures, create a Monster Role token attached to it
Blasphemous Edict	1	FDN;PFDN	Swallow:Condition_If	Condition_If — You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield. Each player sacrifices th
Bonecache Overseer	1	BLB	Swallow:Condition_If	Condition_If — {T}, Pay 1 life: Draw a card. Activate only if three or more cards left your graveyard this turn or if you've sacrificed a Food this turn.
Bounding Felidar	1	OTJ	Swallow:DynamicQty	DynamicQty — Whenever this creature attacks while saddled, put a +1/+1 counter on each other creature you control. You gain 1 life for each of those crea
Brackish Blunder	1	LCI	Swallow:Condition_If	Condition_If — Return target creature to its owner's hand. If it was tapped, create a Map token. (It's an artifact with "{1}, {T}, Sacrifice this token: Ta
Braided Net	1	LCI	Swallow:Condition_AsLongAs	Condition_AsLongAs — This artifact enters with three net counters on it. {T}, Remove a net counter from this artifact: Tap another target nonland permanent. Its
Break the Spell	1	WOE	Swallow:Condition_If	Condition_If — Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card.
Bre of Clan Stoutarm	1	ECL;PECL	Effect:otherwise	Otherwise
Brilliance Unleashed	1	TMT	Effect:it's	it's a 3/3 Robot artifact creature with flying
Bumi, King of Three Trials	1	TLA	Swallow:DynamicQty	DynamicQty — When Bumi enters, choose up to X, where X is the number of Lesson cards in your graveyard — • Put three +1/+1 counters on Bumi. • Targ
Bumi, Unleashed	1	PTLA;TLA	Effect:only	Only land creatures can attack during that combat phase
Cache Grab	1	BLB	Swallow:Condition_If	Condition_If — Mill four cards. You may put a permanent card from among the cards milled this way into your hand. If you control a Squirrel or returned a S
Calamity, Galloping Inferno	1	OTJ;PL26;POTJ	Effect:choose	choose a nonlegendary creature that saddled it this turn
Call the Spirit Dragons	1	PTDM;TDM	Effect:for	for each color, put a +1/+1 counter on a Dragon you control of that color
Case File Auditor	1	MKM	Trigger:Whenever you solve a Case	Whenever you solve a Case, look at the top six cards of your library. You may reveal an enchantment card from among them and put it into your hand. Put the rest
Case of the Uneaten Feast	1	MKM;PMKM	Swallow:Optional_YouMay	Optional_YouMay — Whenever a creature you control enters, you gain 1 life. To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beg
Cavernous Maw	2	LCI	Swallow:Condition_If;Swallow:DynamicQty	DynamicQty — {T}: Add {C}. {2}: This land becomes a 3/3 Elemental creature until end of turn. It's still a Cave land. Activate only if the number of othe
Celestial Reunion	1	ECL;PECL	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, you may choose a creature type and behold two creatures of that type. Search your library for a cr
Charging Hooligan	1	WOE	Swallow:Condition_If	Condition_If — Whenever this creature attacks, it gets +1/+0 until end of turn for each attacking creature. If a Rat is attacking, this creature gains tram
Choreographed Sparks	1	PSOS;SOS	Effect:the	The copy gains haste and "At the beginning of the end step, sacrifice ~."
Cinder Strike	1	ECL	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.) Cinder Strike deals 2 d
Close Encounter	1	EOE	Cost:choose a creature you control or a warped creature card you own in exile	choose a creature you control or a warped creature card you own in exile
Cloud, Midgar Mercenary	2	FIN;PFIN;PMEI;PPRO;PSPL	Swallow:Condition_AsLongAs;Swallow:Condition_If	Condition_If — When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle. As long as Cloud is equipped, 
Cloud, Planet's Champion	1	FIN;PMEI	Swallow:Condition_AsLongAs	Condition_AsLongAs — During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular
Coiling Rebirth	1	BLB;PBLB	Swallow:Condition_If	Condition_If — Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.) Return target
Combustion Man	1	TLA	Effect:Unsupported unless clause	destroy target permanent unless its controller has ~ deal damage to them equal to his power
Consuming Ashes	1	OTJ	Swallow:Condition_If	Condition_If — Exile target creature. If it had mana value 3 or less, surveil 2. (Look at the top two cards of your library, then put any number of them in
Corpseberry Cultivator	1	BLB	Trigger:Whenever you forage	Whenever you forage, put a +1/+1 counter on ~.
Cosmic Cube	1	MSH	Swallow:DynamicQty	DynamicQty — Ward {2} Whenever you attack, look at the top six cards of your library. You may cast a spell from among them with mana value less than or e
Crowd-Control Warden	1	MKM	Effect:replacement_structure	As ~ enters or is turned face up, put X +1/+1 counters on it, where X is the number of other creatures you control.
Curator of Sun's Creation	2	LCI	Effect:discover;Trigger:Whenever you discover	Whenever you discover, discover again for the same value. This ability triggers only once each turn.
Dawnhand Dissident	1	ECL;PECL	Effect:unknown	During your turn, you may cast creature spells from among cards you own exiled with ~ by removing three counters from among creatures you control in addition to
Deadly Cover-Up	1	MKM;PMKM	Effect:search	search its owner's graveyard, hand, and library for any number of cards with that name and exile them
Diligent Zookeeper	1	PTLA;TLA	Swallow:DynamicQty	DynamicQty — Each non-Human creature you control gets +1/+1 for each of its creature types, to a maximum of 10.
Discerning Financier	1	WOE	Effect:choose	{2}{W}: Choose another player. That player gains control of target Treasure you control. You draw a card.
Doc Aurlock, Grizzled Genius	1	OTJ	Effect:static_structure	Plotting cards from your hand costs {2} less.
Doppelgang	1	MKM;PMKM	Effect:for	For each of X target permanents, create X tokens that are copies of that permanent.
Dose of Dawnglow	1	ECL	Swallow:Condition_If	Condition_If — Return target creature card from your graveyard to the battlefield. Then if it isn't your main phase, blight 2. (Put two -1/-1 counters on a
Dracogenesis	1	PTDM;TDM	Swallow:Optional_YouMay	Optional_YouMay — You may cast Dragon spells without paying their mana costs.
Dragonfire Blade	1	PTDM;TDM	Swallow:DynamicQty	DynamicQty — Equipped creature gets +2/+2 and has hexproof from monocolored. Equip {4}. This ability costs {1} less to activate for each color of the cre
Driftgloom Coyote	1	BLB	Swallow:Condition_If	Condition_If — When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. If that creature had power
Edgar, King of Figaro	1	FIN;PFIN	Effect:unknown	Two-Headed Coin — The first time you flip one or more coins each turn, those coins come up heads and you win those flips.
Eliminate the Impossible	1	MKM	Swallow:Condition_If	Condition_If — Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To in
Elvish Refueler	1	DFT	Effect:unknown	During your turn, as long as you haven't activated an exhaust ability this turn, you may activate exhaust abilities as though they haven't been activated.
Emeritus of Ideation	1	PSOS;SOS	ParseWarning:target-fallback	[warning:target-fallback] parse_target could not classify 'eight cards from your graveyard'
Eriette, the Beguiler	1	OTJ;POTJ	Trigger:Whenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value	Whenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value, gain con
Ertha Jo, Frontier Mentor	1	OTJ	Trigger:Whenever you activate an ability that targets a creature or player	Whenever you activate an ability that targets a creature or player, copy that ability. You may choose new targets for the copy.
Esper Terra	2	FIN;PFIN	Effect:add;Effect:put	put up to three lore counters on it
Expel the Interlopers	1	PWOE;TDC;WOE	Swallow:DynamicQty	DynamicQty — Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.
Expose the Culprit	1	MKM	Effect:shuffle	shuffle that pile, then cloak them
Faller's Faithful	2	EOE	Swallow:Condition_If;Swallow:Duration_ThisTurn	Condition_If — When this creature enters, destroy up to one other target creature. If that creature wasn't dealt damage this turn, its controller draws two
Fblthp, Lost on the Range	2	OTJ;POTJ	Effect:effect_structure;Effect:static_structure	The top card of your library has plot. The plot cost is equal to its mana cost.
Fearless Swashbuckler	1	DFT;PDFT	Swallow:Condition_If	Condition_If — Haste Vehicles you control have haste. Whenever you attack, if a Pirate and a Vehicle attacked this combat, draw three cards, then discard t
Fear of Immobility	1	DSK	Swallow:Condition_If	Condition_If — When this creature enters, tap up to one target creature. If an opponent controls that creature, put a stun counter on it. (If a permanent w
Firebender Ascension	1	PTLA;TLA	Trigger:Whenever a creature you control attacking causes a triggered ability of that creature to trigger	Whenever a creature you control attacking causes a triggered ability of that creature to trigger, put a quest counter on ~. Then if it has four or more quest co
Foraging Wickermaw	1	ECL	Effect:become	become that color
Fractalize	1	SOS	Swallow:DynamicQty	DynamicQty — Until end of turn, target creature becomes a green and blue Fractal with base power and toughness each equal to X plus 1. (It loses all othe
Freestrider Commando	1	OTJ	Swallow:Condition_If	Condition_If — This creature enters with two +1/+1 counters on it if it wasn't cast or no mana was spent to cast it. Plot {3}{G} (You may pay {3}{G} and ex
Full Bore	1	EOE	Swallow:Condition_If	Condition_If — Target creature you control gets +3/+2 until end of turn. If that creature was cast for its warp cost, it also gains trample and haste until
Glen Elendra's Answer	1	ECL;PECL	Effect:all	all abilities your opponents control
Grab the Prize	1	DSK	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, discard a card. Draw two cards. If the discarded card wasn't a land card, Grab the Prize deals 2 d
Graceful Takedown	1	WOE	Effect:multi_source_compound_each_power_damage	Any number of target enchanted creatures you control and up to one other target creature you control each deal damage equal to their power to target creature yo
Grievous Wound	1	DSK;PDSK	Trigger:Whenever enchanted player is dealt damage	Whenever enchanted player is dealt damage, they lose half their life, rounded up.
Grub, Notorious Auntie	1	ECL	ParseWarning:target-fallback	[warning:target-fallback] parse_target could not classify 'the blighted creature'
Hades, Sorcerer of Eld	1	FIN;PFIN	Swallow:Optional_YouMay	Optional_YouMay — Vigilance Echo of the Lost — During your turn, you may play cards from your graveyard. If a card or token would be put into your graveyard
Hama, the Bloodbender	1	TLA	Swallow:DynamicQty	DynamicQty — When Hama enters, target opponent mills three cards. Exile up to one noncreature, nonland card from that player's graveyard. For as long as 
Hawkeye, Young Avenger	1	MSH	Swallow:DynamicQty	DynamicQty — Reach If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, instead it deals that much dam
Hearth Elemental	1	WOE	Swallow:DynamicQty	DynamicQty — This spell costs {X} less to cast, where X is the number of cards in your graveyard that are instant cards, sorcery cards, and/or have an Ad
Heirloom Epic	1	BLB	Effect:for	For each mana in this ability's activation cost, you may tap an untapped creature you control rather than pay that mana
Hollow Marauder	1	OTJ	Effect:for	For each of those opponents who didn't discard a card with mana value 4 or greater, draw a card
Hulkling, Burgeoning Bruiser	1	MSH	Swallow:Condition_If	Condition_If — Vigilance Whenever another creature you control enters, if it has greater power or toughness than Hulkling, put a +1/+1 counter on Hulkling.
Ignis Scientia	1	FIN	Cost:I've Come Up with a New Recipe! — {1}{G}{U}	I've Come Up with a New Recipe! — {1}{G}{U}
Innocent Bystander	1	MKM	Trigger:Whenever ~ is dealt 3 or more damage	Whenever ~ is dealt 3 or more damage, investigate.
Inquisitive Glimmer	1	DSK	Effect:static_structure	Unlock costs you pay cost {1} less.
Intrepid Paleontologist	2	LCI;PLCI	Swallow:Condition_If;Swallow:Optional_YouMay	Optional_YouMay — {T}: Add one mana of any color. {2}: Exile target card from a graveyard. You may cast Dinosaur creature spells from among cards you own exil
Inventive Wingsmith	1	OTJ	Swallow:Duration_ThisTurn	Duration_ThisTurn — At the beginning of your end step, if you haven't cast a spell from your hand this turn and this creature doesn't have a flying counter on i
Jolly Gerbils	1	BLB	Trigger:Whenever you give a gift	Whenever you give a gift, draw a card.
Judgment Bolt	1	FIN	Swallow:DynamicQty	DynamicQty — Judgment Bolt deals 5 damage to target creature and X damage to that creature's controller, where X is the number of Equipment you control.
Kambal, Profiteering Mayor	1	OTJ;POTJ	Swallow:DynamicQty	DynamicQty — Whenever one or more tokens your opponents control enter, for each of them, create a tapped token that's a copy of it. This ability triggers
Karai, Future of the Foot	1	TMT	Swallow:Duration_ThisTurn	Duration_ThisTurn — Sneak {2}{W}{B} (You may cast this spell for {2}{W}{B} if you also return an unblocked attacker you control to hand during the declare block
Katara, Water Tribe's Hope	1	PTLA;TLA	Swallow:ActivateOnlyDuring	ActivateOnlyDuring — Vigilance When Katara enters, create a 1/1 white Ally creature token. Waterbend {X}: Creatures you control have base power and toughness X/
Kav Landseeker	1	EOE	Effect:at	At the beginning of the end step on your next turn, sacrifice that token
Kaya, Spirits' Justice	2	MKM;PMKM;PWCS	Effect:choose;Effect:for	For each other player, exile up to one target creature that player controls
Kishla Skimmer	1	TDM	Trigger:Whenever a card leaves your graveyard during your turn	Whenever a card leaves your graveyard during your turn, draw a card. This ability triggers only once each turn.
Kitesail Larcenist	1	LCI;PLCI	Effect:for	for each player, choose up to one other target artifact or creature that player controls
Koh, the Face Stealer	2	PTLA;TLA	Effect:choose;Effect:static_structure	Pay 1 life: Choose a creature card exiled with ~.
Kylox's Voltstrider	2	MKM;PMKM	Swallow:Condition_If;Swallow:Duration_UntilEndOfTurn	Duration_UntilEndOfTurn — Collect evidence 6: This Vehicle becomes an artifact creature until end of turn. Whenever this Vehicle attacks, you may cast an instan
Lady Octopus, Inspired Inventor	1	OM1;PSPM;SPM	Trigger:Whenever you draw your first or second card each turn	Whenever you draw your first or second card each turn, put an ingenuity counter on ~.
Lashwhip Predator	1	EOE	Swallow:Condition_If	Condition_If — This spell costs {2} less to cast if your opponents control three or more creatures. Reach
Leonardo, Sewer Samurai	2	TMT	Swallow:Condition_If;Swallow:Optional_YouMay	Optional_YouMay — Sneak {2}{W}{W} Double strike During your turn, you may cast creature spells with power or toughness 1 or less from your graveyard. If you c
Leyline of Transformation	1	DSK;PDSK	Effect:unknown	The same is true for creature spells you control and creature cards you own that aren't on the battlefield.
Locus of Enlightenment	1	LCI	Effect:static_structure	~ has each activated ability of the exiled cards used to craft it. You may activate each of those abilities only once each turn.
Loki, God of Mischief	1	MSH;PMEI	Trigger:Whenever a player or permanent becomes the target of an ability you control	Whenever a player or permanent becomes the target of an ability you control, draw a card. This ability triggers only once each turn.
Long Feng, Grand Secretariat	1	TLA	Trigger:Whenever another creature you control	Whenever another creature you control, put a +1/+1 counter on target creature you control.
Longstalk Brawl	1	BLB	Swallow:Condition_If	Condition_If — Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token 
Luxurious Locomotive	1	OTJ	Swallow:DynamicQty	DynamicQty — Whenever this Vehicle attacks, create a Treasure token for each creature that crewed it this turn. (They're artifacts with "{T}, Sacrifice t
Machinist's Arsenal	1	FIN;PFIN	Swallow:DynamicQty	DynamicQty — Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2 fo
Magitek Scythe	1	FIN	Swallow:Optional_YouMay	Optional_YouMay — A Test of Your Reflexes! — When this Equipment enters, you may attach it to target creature you control. If you do, that creature gains fi
Malamet Battle Glyph	1	LCI	Swallow:Condition_If	Condition_If — Choose target creature you control and target creature you don't control. If the creature you control entered this turn, put a +1/+1 counter
Massacre Girl, Known Killer	1	ECC;MKM;PMKM	Swallow:Condition_If	Condition_If — Menace Creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.) Whenever a creature an opponent con
Master's Manufactory	1	LCI	Swallow:Condition_If	Condition_If — {T}: Create a 4/4 white and blue Golem artifact creature token. Activate only if this artifact or another artifact entered the battlefield u
Matzalantli, the Great Door	1	LCI	Swallow:Condition_If	Condition_If — {T}: Draw a card, then discard a card. {4}, {T}: Transform Matzalantli. Activate only if there are four or more permanent types among cards 
Maximum Carnage	1	OM1;PSPM;SPM	Swallow:Condition_If	Condition_If — (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Until your next turn, each creature attacks e
Mazemind Tome	1	BRR;CMM;FDN;M21;PLST;PM21;PRM	Trigger:When there are four or more page counters on ~	When there are four or more page counters on ~, exile it. If you do, you gain 4 life.
Memory Vessel	1	BIG	Effect:players	players may play cards they exiled this way, and they can't play cards from their hand
Mirrormind Crown	1	ECL;PECL	Swallow:Optional_YouMay	Optional_YouMay — As long as this Equipment is attached to a creature, the first time you would create one or more tokens each turn, you may instead create th
Mockingbird	1	BLB;PBLB	Swallow:DynamicQty	DynamicQty — Flying You may have this creature enter as a copy of any creature on the battlefield with mana value less than or equal to the amount of man
Molten Exhale	1	TDM	Swallow:Condition_If	Condition_If — You may cast this spell as though it had flash if you behold a Dragon as an additional cost to cast it. (To behold a Dragon, choose a Dragon
Moonlit Meditation	1	EOE;PEOE	Effect:replacement_structure	The first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of enchanted permanent.
